country_name,year,co2_emissions,male_death_rate,female_death_rate,cigarette_sales,land_area,GDP,population,gdp_norm,co2_norm
Portugal,1967,12409.128,11.9,2.94,3.799999952316284,91605.6,5740241166.0,8874520.0,646.822720102045,0.13546254814116168
Portugal,1968,13010.516,13.74,2.62,3.900000095367432,91605.6,6354262628.0,8836650.0,719.0804918153373,0.1420275179683338
Portugal,1969,14612.995,14.32,3.35,3.900000095367432,91605.6,6969025826.0,8757705.0,795.7593714334977,0.1595207607395181
Portugal,1970,15258.387,14.51,3.14,4.199999809265137,91605.6,8108235704.0,8680431.0,934.0821560588408,0.1665660942125809
Portugal,1971,16406.158,16.05,3.58,4.199999809265137,91605.6,9201604240.0,8643756.0,1064.5377125407058,0.17909557930956185
Portugal,1972,18349.668,15.37,3.47,4.400000095367432,91605.6,11239117865.0,8630430.0,1302.266267729418,0.20031164033639864
Portugal,1973,20003.485,16.35,3.56,4.5,91605.6,15090564186.0,8633100.0,1747.9890405532196,0.21836530736112203
Portugal,1974,20714.883,15.5,3.8,4.699999809265137,91605.6,17512391476.0,8754365.0,2000.4182457551176,0.2261311863030208
Portugal,1975,21356.608,16.97,3.73,4.800000190734863,91605.6,19347607843.0,9093470.0,2127.6375072442092,0.23313648947225932
Portugal,1976,22423.705,17.96,3.59,4.599999904632568,91605.6,20332831565.0,9355810.0,2173.2839342611705,0.24478530788510747
Portugal,1977,22728.066,18.69,3.65,4.900000095367432,91605.6,21439523311.0,9455675.0,2267.371003233508,0.24810782310251772
Portugal,1978,22742.734,21.59,3.37,4.900000095367432,91605.6,23487614051.0,9558250.0,2457.313216436063,0.24826794431781463
Portugal,1979,25030.942,22.74,3.89,4.699999809265137,91605.6,26622819672.0,9661265.0,2755.6246176872282,0.2732468539041281
Portugal,1980,26985.453,23.65,4.1,4.599999904632568,91605.6,32896519824.0,9766312.0,3368.366669424446,0.2945830058424376
Portugal,1981,27227.475,21.18,4.22,4.800000190734863,91605.6,31977276873.0,9851362.0,3245.9752136811135,0.2972250058948361
Portugal,1982,29255.326,22.82,4.62,4.800000190734863,91605.6,30527754793.0,9911771.0,3079.949566328762,0.31936176390962995
Portugal,1983,30179.41,23.73,4.13,5.0,91605.6,27239650742.0,9957865.0,2735.4910658057725,0.3294494004733335
Portugal,1984,29064.642,25.22,4.02,5.0,91605.6,25217969050.0,9996232.0,2522.7474762490506,0.3172801881107705
Portugal,1985,27407.158,27.53,4.43,4.900000095367432,91605.6,27115807742.0,10023613.0,2705.1930019644615,0.29918649078222287
